"","target","chk_ac_status","duration_month","credit_history","purpose","credit_amount","savings_ac_bond","p_employment_since","instalment_pct","personal_status","other_debtors_or_grantors","present_residence_since","property_type","age_in_yrs","other_instalment_type","housing_type","number_cards_this_bank","job","no_people_liable_for_mntnance","telephone","foreign_worker"
"16",0,"A11",24,"A32","A43",1282,"A62","A73",4,"A92","A101",2,"A123",32,"A143","A152",1,"A172",1,"A191","A201"
"17",1,"A14",24,"A34","A43",2424,"A65","A75",4,"A93","A101",4,"A122",53,"A143","A152",2,"A173",1,"A191","A201"
"18",1,"A11",30,"A30","A49",8072,"A65","A72",2,"A93","A101",3,"A123",25,"A141","A152",3,"A173",1,"A191","A201"
"19",0,"A12",24,"A32","A41",12579,"A61","A75",4,"A92","A101",2,"A124",44,"A143","A153",1,"A174",1,"A192","A201"
"20",1,"A14",24,"A32","A43",3430,"A63","A75",3,"A93","A101",2,"A123",31,"A143","A152",1,"A173",2,"A192","A201"
"21",1,"A14",9,"A34","A40",2134,"A61","A73",4,"A93","A101",4,"A123",48,"A143","A152",3,"A173",1,"A192","A201"
"22",1,"A11",6,"A32","A43",2647,"A63","A73",2,"A93","A101",3,"A121",44,"A143","A151",1,"A173",2,"A191","A201"
"23",1,"A11",10,"A34","A40",2241,"A61","A72",1,"A93","A101",3,"A121",48,"A143","A151",2,"A172",2,"A191","A202"
"24",1,"A12",12,"A34","A41",1804,"A62","A72",3,"A93","A101",4,"A122",44,"A143","A152",1,"A173",1,"A191","A201"
"25",1,"A14",10,"A34","A42",2069,"A65","A73",2,"A94","A101",1,"A123",26,"A143","A152",2,"A173",1,"A191","A202"
"26",1,"A11",6,"A32","A42",1374,"A61","A73",1,"A93","A101",2,"A121",36,"A141","A152",1,"A172",1,"A192","A201"
"27",1,"A14",6,"A30","A43",426,"A61","A75",4,"A94","A101",4,"A123",39,"A143","A152",1,"A172",1,"A191","A201"
"28",1,"A13",12,"A31","A43",409,"A64","A73",3,"A92","A101",3,"A121",42,"A143","A151",2,"A173",1,"A191","A201"
"29",1,"A12",7,"A32","A43",2415,"A61","A73",3,"A93","A103",2,"A121",34,"A143","A152",1,"A173",1,"A191","A201"
"30",0,"A11",60,"A33","A49",6836,"A61","A75",3,"A93","A101",4,"A124",63,"A143","A152",NA,NA,1,"A192","A201"
"31",1,"A12",18,"A32","A49",1913,"A64","A72",3,"A94","A101",3,"A121",36,"A141","A152",1,"A173",1,"A192","A201"
"32",1,"A11",24,"A32","A42",4020,"A61","A73",2,"A93","A101",2,"A123",27,"A142","A152",1,"A173",1,"A191","A201"
"33",1,"A12",18,"A32","A40",5866,"A62","A73",2,"A93","A101",2,"A123",30,"A143","A152",2,"A173",1,"A192","A201"
"34",1,"A14",12,"A34","A49",1264,"A65","A75",4,"A93","A101",4,"A124",57,"A143","A151",NA,NA,1,"A191","A201"
"35",1,"A13",12,"A32","A42",1474,"A61","A72",4,"A92","A101",1,"A122",33,"A141","A152",1,"A174",1,"A192","A201"
"36",0,"A12",45,"A34","A43",4746,"A61","A72",4,"A93","A101",2,"A122",25,"A143","A152",2,"A172",1,"A191","A201"
"37",1,"A14",48,"A34","A46",6110,"A61","A73",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173",1,"A192","A201"
"38",0,"A13",18,"A32","A43",2100,"A61","A73",4,"A93","A102",2,"A121",37,"A142","A152",1,"A173",1,"A191","A201"
"39",1,"A13",10,"A32","A44",1225,"A61","A73",2,"A93","A101",2,"A123",37,"A143","A152",1,NA,1,"A192","A201"
"40",1,"A12",9,"A32","A43",458,"A61","A73",4,"A93","A101",3,"A121",24,"A143","A152",1,"A173",1,"A191","A201"
"41",1,"A14",30,"A32","A43",2333,"A63","A75",4,"A93","A101",2,"A123",30,"A141","A152",1,"A174",1,"A191","A201"
"42",1,"A12",12,"A32","A43",1158,"A63","A73",3,"A91","A101",1,"A123",26,"A143","A152",1,"A173",1,"A192","A201"
"43",1,"A12",18,"A33","A45",6204,"A61","A73",2,"A93","A101",4,"A121",44,"A143","A152",1,"A172",2,"A192","A201"
"44",1,"A11",30,"A34","A41",6187,"A62","A74",1,"A94","A101",4,"A123",24,"A143","A151",2,"A173",1,"A191","A201"
"45",0,"A11",48,"A34","A41",6143,"A61","A75",4,"A92","A101",4,"A124",58,"A142","A153",2,"A172",1,"A191","A201"
"46",1,"A14",11,"A34","A40",1393,"A61","A72",4,"A92","A101",4,"A123",35,"A143","A152",2,"A174",1,"A191","A201"
"47",1,"A14",36,"A32","A43",2299,"A63","A75",4,"A93","A101",4,"A123",39,"A143",NA,NA,"A173",1,"A191","A201"
"48",1,"A11",6,"A32","A41",1352,"A63","A71",1,"A92","A101",2,"A122",23,"A143","A151",1,"A171",1,"A192","A201"
"49",1,"A14",11,"A34","A40",7228,"A61","A73",1,"A93","A101",4,"A122",39,"A143","A152",2,"A172",1,"A191","A201"
"50",1,"A14",12,"A32","A43",2073,"A62","A73",4,"A92","A102",2,"A121",28,"A143","A152",1,"A173",1,"A191","A201"
"51",1,"A12",24,"A33","A42",2333,"A65","A72",4,"A93","A101",2,"A122",29,"A141","A152",1,NA,1,"A191","A201"
"52",1,"A12",27,"A33","A41",5965,"A61","A75",1,"A93","A101",2,"A123",30,"A143","A152",NA,"A174",1,"A192","A201"
"53",1,"A14",12,"A32","A43",1262,"A61","A73",3,"A93","A101",2,"A123",25,"A143","A152",NA,"A173",1,"A191","A201"
"54",1,"A14",18,"A32","A41",3378,"A65","A73",2,"A93","A101",1,"A122",31,"A143","A152",1,"A173",1,"A192","A201"
"55",0,"A12",36,"A33","A40",2225,"A61","A75",4,"A93","A101",4,"A124",57,"A141","A153",2,"A173",1,"A192","A201"
"56",1,"A14",6,"A31","A40",783,"A65","A73",1,"A93","A103",2,"A121",26,"A142","A152",1,"A172",2,"A191","A201"
"57",0,"A12",12,"A32","A43",6468,"A65","A71",2,"A93","A101",1,"A124",52,"A143","A152",1,"A174",1,"A192","A201"
"58",1,"A14",36,"A34","A43",9566,"A61","A73",2,"A92","A101",2,"A123",31,"A142","A152",2,"A173",1,"A191","A201"
"59",1,"A13",18,"A32","A40",1961,"A61","A75",3,"A92","A101",2,"A123",23,"A143","A152",1,"A174",1,"A191","A201"
"60",0,"A11",36,"A34","A42",6229,"A61","A72",4,"A92","A102",4,"A124",23,"A143","A151",2,"A172",1,"A192","A201"
"61",1,"A12",9,"A32","A49",1391,"A61","A73",2,"A94","A101",1,"A121",27,"A141","A152",1,"A173",1,"A192","A201"
"62",1,"A12",15,"A34","A43",1537,"A65","A75",4,"A93","A103",4,"A121",50,"A143","A152",2,"A173",1,"A192","A201"
"63",0,"A12",36,"A30","A49",1953,"A61","A75",4,"A93","A101",4,"A124",61,"A143","A153",1,"A174",1,"A192","A201"
"64",0,"A12",48,"A30","A49",14421,"A61","A73",2,"A93","A101",2,"A123",25,"A143","A152",1,"A173",1,"A192","A201"
"65",1,"A14",24,"A32","A43",3181,"A61","A72",4,"A92","A101",4,"A122",26,"A143","A152",1,"A173",1,"A192","A201"
"66",1,"A14",27,"A32","A45",5190,"A65","A75",4,"A93","A101",4,"A122",48,"A143","A152",4,"A173",2,"A192","A201"
"67",1,"A14",12,"A32","A43",2171,"A61","A72",2,"A92","A101",2,"A123",29,"A141","A152",1,"A173",1,"A191","A201"
"68",1,"A12",12,"A32","A40",1007,"A64","A73",4,"A94","A101",1,"A121",22,"A143","A152",1,"A173",1,"A191","A201"
"69",0,"A14",36,"A32","A46",1819,"A61","A73",4,"A93","A101",4,"A124",37,"A142","A153",NA,"A173",1,"A192","A201"
"70",1,"A14",36,"A32","A43",2394,"A65","A73",4,"A92","A101",4,"A123",25,"A143","A152",1,"A173",1,"A191","A201"
"71",1,"A14",36,"A32","A41",8133,"A61","A73",1,"A92","A101",2,"A122",30,"A141","A152",1,"A173",1,"A191","A201"
"72",1,"A14",7,"A34","A43",730,"A65","A75",4,"A93","A101",2,"A122",46,"A143","A151",2,"A172",1,"A192","A201"
"73",1,"A11",8,"A34","A410",1164,"A61","A75",3,"A93","A101",4,"A124",51,"A141","A153",2,"A174",2,"A192","A201"
"74",1,"A12",42,"A34","A49",5954,"A61","A74",2,"A92","A101",1,"A121",41,"A141","A152",2,"A172",1,"A191","A201"
"75",0,"A11",36,"A32","A46",1977,"A65","A75",4,"A93","A101",4,"A124",40,"A143","A152",1,NA,1,"A192","A201"
"76",1,"A11",12,"A34","A41",1526,"A61","A75",4,"A93","A101",4,"A124",66,"A143","A153",2,"A174",1,"A191","A201"
"77",0,"A11",42,"A32","A43",3965,"A61","A72",4,"A93","A101",3,"A123",34,"A143","A152",1,"A173",1,"A191","A201"
"78",1,"A12",11,"A33","A43",4771,"A61","A74",2,"A93","A101",4,"A122",51,"A143","A152",NA,"A173",1,"A191","A201"
"79",1,"A14",54,"A30","A41",9436,"A65","A73",2,"A93","A101",2,"A122",39,"A143","A152",1,"A172",2,"A191","A201"
"80",1,"A12",30,"A32","A42",3832,"A61","A72",2,"A94","A101",1,"A122",22,"A143","A152",1,NA,1,"A191","A201"
"81",0,"A14",24,"A32","A43",5943,"A65","A72",1,"A92","A101",1,"A123",44,"A143","A152",2,"A173",1,"A192","A201"
"82",1,"A14",15,"A32","A43",1213,"A63","A75",4,"A93","A101",3,"A122",47,"A142","A152",1,NA,1,"A192","A201"
"83",1,"A14",18,"A32","A49",1568,"A62","A73",3,"A92","A101",4,"A122",24,"A143","A151",1,"A172",1,"A191","A201"
"84",1,"A11",24,"A32","A410",1755,"A61","A75",4,"A92","A103",4,"A121",58,"A143","A152",1,"A172",1,"A192","A201"
"85",1,"A11",10,"A32","A43",2315,"A61","A75",3,"A93","A101",4,"A121",52,"A143","A152",1,"A172",1,"A191","A201"
"86",1,"A14",12,"A34","A49",1412,"A61","A73",4,"A92","A103",2,"A121",29,"A143","A152",2,"A174",1,"A192","A201"
"87",1,"A12",18,"A34","A42",1295,"A61","A72",4,"A92","A101",1,"A122",27,"A143","A152",2,"A173",1,"A191","A201"
"88",0,"A12",36,"A32","A46",12612,"A62","A73",1,"A93","A101",4,"A124",47,"A143","A153",1,"A173",2,"A192","A201"
"89",1,"A11",18,"A32","A40",2249,"A62","A74",4,"A93","A101",3,"A123",30,"A143","A152",1,"A174",2,"A192","A201"
"90",0,"A11",12,"A30","A45",1108,"A61","A74",4,"A93","A101",3,"A121",28,"A143","A152",2,"A173",1,"A191","A201"
"91",1,"A14",12,"A34","A43",618,"A61","A75",4,"A93","A101",4,"A121",56,"A143","A152",1,"A173",1,"A191","A201"
"92",1,"A11",12,"A34","A41",1409,"A61","A75",4,"A93","A101",3,"A121",54,"A143","A152",1,"A173",1,"A191","A201"
"93",0,"A14",12,"A34","A43",797,"A65","A75",4,"A92","A101",3,"A122",33,"A141","A152",1,"A172",2,"A191","A201"
"94",1,"A13",24,"A34","A42",3617,"A65","A75",4,"A93","A102",4,"A124",20,"A143","A151",2,"A173",1,"A191","A201"
"95",1,"A12",12,"A32","A40",1318,"A64","A75",4,"A93","A101",4,"A121",54,"A143","A152",1,"A173",1,"A192","A201"
"96",0,"A12",54,"A30","A49",15945,"A61","A72",3,"A93","A101",4,"A124",58,"A143","A151",1,"A173",1,"A192","A201"
"97",1,"A14",12,"A34","A46",2012,"A65","A74",4,"A92","A101",2,"A123",61,"A143","A152",1,"A173",1,"A191","A201"
"98",1,"A12",18,"A32","A49",2622,"A62","A73",4,"A93","A101",4,"A123",34,"A143","A152",1,"A173",1,"A191","A201"
"99",1,"A12",36,"A34","A43",2337,"A61","A75",4,"A93","A101",4,"A121",36,"A143","A152",1,"A173",1,"A191","A201"
"100",1,"A12",20,"A33","A41",7057,"A65","A74",3,"A93","A101",4,"A122",36,"A141","A151",2,"A174",2,"A192","A201"
"101",1,"A14",24,"A32","A40",1469,"A62","A75",4,"A94","A101",4,"A121",41,"A143",NA,1,"A172",1,"A191","A201"
"102",1,"A12",36,"A32","A43",2323,"A61","A74",4,"A93","A101",4,"A123",24,"A143","A151",1,"A173",1,"A191","A201"
"103",1,"A14",6,"A33","A43",932,"A61","A73",3,"A92","A101",2,"A121",24,"A143","A152",1,"A173",1,"A191","A201"
"104",1,"A12",9,"A34","A42",1919,"A61","A74",4,"A93","A101",3,"A123",35,"A143","A151",1,"A173",1,"A192","A201"
"105",1,"A14",12,"A32","A41",2445,"A65","A72",2,"A94","A101",4,"A123",26,"A143","A151",1,"A173",1,"A192","A201"
"106",0,"A12",24,"A34","A410",11938,"A61","A73",2,"A93","A102",3,"A123",39,"A143","A152",2,"A174",2,"A192","A201"
"107",0,"A14",18,"A31","A40",6458,"A61","A75",2,"A93","A101",4,"A124",39,"A141","A152",2,"A174",2,"A192","A201"
"108",1,"A12",12,"A32","A40",6078,"A61","A74",2,"A93","A101",2,"A123",32,"A143","A152",1,"A173",1,"A191","A201"
"109",1,"A11",24,"A32","A42",7721,"A65","A72",1,"A92","A101",2,"A122",30,"A143","A152",1,"A173",1,"A192","A202"
"110",1,"A12",14,"A32","A49",1410,"A63","A75",1,"A94","A101",2,"A121",35,"A143","A152",1,"A173",1,"A192","A201"
"111",1,"A12",6,"A33","A49",1449,"A62","A75",1,"A91","A101",2,"A123",31,"A141","A152",NA,"A173",2,"A191","A201"
"112",1,"A13",15,"A32","A46",392,"A61","A72",4,"A92","A101",4,"A122",23,"A143","A151",1,"A173",1,"A192","A201"
"113",1,"A12",18,"A32","A40",6260,"A61","A74",3,"A93","A101",3,"A121",28,"A143","A151",1,"A172",1,"A191","A201"
"114",0,"A14",36,"A34","A40",7855,"A61","A73",4,"A92","A101",2,"A121",25,"A142","A152",2,"A173",1,"A192","A201"
"115",1,"A11",12,"A32","A43",1680,"A63","A75",3,"A94","A101",1,"A121",35,"A143","A152",1,"A173",1,"A191","A201"
"116",1,"A14",48,"A34","A43",3578,"A65","A75",4,"A93","A101",1,"A121",47,"A143","A152",1,"A173",1,"A192","A201"
"117",0,"A11",42,"A32","A43",7174,"A65","A74",4,"A92","A101",3,"A123",30,"A143","A152",1,"A174",1,"A192","A201"
"118",1,"A11",10,"A34","A42",2132,"A65","A72",2,"A92","A102",3,"A121",27,"A143","A151",2,"A173",1,"A191","A202"
"119",0,"A11",33,"A34","A42",4281,"A63","A73",1,"A92","A101",4,"A123",23,"A143","A152",2,"A173",1,"A191","A201"
"120",1,"A12",12,"A34","A40",2366,"A63","A74",3,"A91","A101",3,"A123",36,"A143","A152",1,"A174",1,"A192","A201"
"121",0,"A11",21,"A32","A43",1835,"A61","A73",3,"A92","A101",2,"A121",25,"A143","A152",2,"A173",1,"A192","A201"
"122",1,"A14",24,"A34","A41",3868,"A61","A75",4,"A92","A101",2,"A123",41,"A143","A151",2,"A174",1,"A192","A201"
"123",1,"A14",12,"A32","A42",1768,"A61","A73",3,"A93","A101",2,"A121",24,"A143","A151",1,NA,1,"A191","A201"
"124",1,"A13",10,"A34","A40",781,"A61","A75",4,"A93","A101",4,"A124",63,"A143","A153",2,"A173",1,"A192","A201"
"125",0,"A12",18,"A32","A42",1924,"A65","A72",4,"A92","A101",3,"A121",27,"A143","A151",1,"A173",1,"A191","A201"
"126",1,"A11",12,"A34","A40",2121,"A61","A73",4,"A93","A101",2,"A122",30,"A143","A152",2,"A173",1,"A191","A201"
"127",1,"A11",12,"A32","A43",701,"A61","A73",4,"A94","A101",2,"A121",40,"A143","A152",1,"A172",1,"A191","A201"
"128",0,"A12",12,"A32","A45",639,"A61","A73",4,"A93","A101",2,"A123",30,"A143","A152",NA,"A173",1,"A191","A201"
"129",1,"A12",12,"A34","A41",1860,"A61","A71",4,"A93","A101",2,"A123",34,"A143","A152",2,"A174",1,"A192","A201"
"130",0,"A11",12,"A34","A40",3499,"A61","A73",3,"A92","A102",2,"A121",29,"A143","A152",2,"A173",1,"A191","A201"
"131",1,"A12",48,"A32","A40",8487,"A65","A74",1,"A92","A101",2,"A123",24,"A143","A152",1,"A173",1,"A191","A201"
"132",0,"A11",36,"A33","A46",6887,"A61","A73",4,"A93","A101",3,"A122",29,"A142","A152",1,"A173",1,"A192","A201"
"133",1,"A14",15,"A32","A42",2708,"A61","A72",2,"A93","A101",3,"A122",27,"A141",NA,2,"A172",1,"A191","A201"
"134",1,"A14",18,"A32","A42",1984,"A61","A73",4,"A93","A101",4,"A124",47,"A141","A153",2,"A173",1,"A191","A201"
"135",1,"A14",60,"A32","A43",10144,"A62","A74",2,"A92","A101",4,"A121",21,"A143","A152",1,"A173",1,"A192","A201"
"136",1,"A14",12,"A34","A43",1240,"A65","A75",4,"A92","A101",2,"A121",38,"A143","A152",2,"A173",1,"A192","A201"
"137",1,"A14",27,"A33","A41",8613,"A64","A73",2,"A93","A101",2,"A123",27,"A143","A152",2,"A173",1,"A191","A201"
"138",0,"A12",12,"A32","A43",766,"A63","A73",4,"A93","A101",3,"A121",66,"A143","A152",1,"A172",1,"A191","A201"
"139",1,"A12",15,"A34","A43",2728,"A65","A74",4,"A93","A103",2,"A121",35,"A141","A152",3,"A173",1,"A192","A201"
"140",1,"A13",12,"A32","A43",1881,"A61","A73",2,"A92","A101",2,"A123",44,"A143","A151",1,"A172",1,"A192","A201"
"141",1,"A13",6,"A32","A40",709,"A64","A72",2,"A94","A101",2,"A121",27,"A143","A152",1,"A171",1,"A191","A202"
"142",1,"A12",36,"A32","A43",4795,"A61","A72",4,"A92","A101",1,"A124",30,"A143","A152",1,"A174",1,"A192","A201"
"143",1,"A11",27,"A32","A43",3416,"A61","A73",3,"A93","A101",2,"A123",27,"A143","A152",1,"A174",1,"A191","A201"
"144",0,"A11",18,"A32","A42",2462,"A61","A73",2,"A93","A101",2,"A123",22,"A143","A152",1,"A173",1,"A191","A201"
"145",1,"A14",21,"A34","A42",2288,"A61","A72",4,"A92","A101",4,"A122",23,"A143","A152",1,"A173",1,"A192","A201"
"146",1,"A12",48,"A31","A49",3566,"A62","A74",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173",1,"A191","A201"
"147",1,"A11",6,"A34","A40",860,"A61","A75",1,"A92","A101",4,"A124",39,"A143","A152",2,"A173",1,"A192","A201"
"148",1,"A14",12,"A34","A40",682,"A62","A74",4,"A92","A101",3,"A123",51,"A143","A152",2,"A173",1,"A192","A201"
"149",1,"A11",36,"A34","A42",5371,"A61","A73",3,"A93","A103",2,"A122",28,"A143","A152",2,"A173",1,"A191","A201"
"150",1,"A14",18,"A34","A43",1582,"A64","A75",4,"A93","A101",4,"A123",46,"A143","A152",2,"A173",1,"A191","A201"
"151",1,"A14",6,"A32","A43",1346,"A62","A75",2,"A93","A101",4,"A124",42,"A141","A153",1,"A173",2,"A192","A201"
"152",1,"A14",10,"A32","A43",1924,"A61","A73",1,"A93","A101",4,"A122",38,"A143","A152",1,"A173",1,"A192","A202"
"153",1,"A13",36,"A32","A43",5848,"A61","A73",4,"A93","A101",1,"A123",24,"A143","A152",NA,"A173",1,"A191","A201"
"154",1,"A12",24,"A34","A41",7758,"A64","A75",2,"A92","A101",4,"A124",29,"A143","A151",1,"A173",1,"A191","A201"
"155",1,"A12",24,"A33","A49",6967,"A62","A74",4,"A93","A101",4,"A123",36,"A143","A151",1,"A174",1,"A192","A201"
"156",0,"A11",12,"A32","A42",1282,"A61","A73",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173",1,"A191","A201"
"157",1,"A11",9,"A34","A45",1288,"A62","A75",3,"A93","A103",4,"A121",48,"A143",NA,2,"A173",2,"A191","A202"
"158",1,"A11",12,"A31","A48",339,"A61","A75",4,"A94","A101",1,"A123",45,"A141","A152",1,"A172",1,"A191","A201"
"159",1,"A12",24,"A32","A40",3512,"A62","A74",2,"A93","A101",3,"A123",38,"A141","A152",2,"A173",1,"A192","A201"
"160",1,"A14",6,"A34","A43",1898,"A65","A73",1,"A93","A101",2,"A121",34,"A143",NA,2,"A172",2,"A191","A201"
"161",1,"A14",24,"A34","A43",2872,"A62","A75",3,"A93","A101",4,"A121",36,"A143","A152",1,"A173",2,"A192","A201"
"162",1,"A14",18,"A34","A40",1055,"A61","A72",4,"A92","A101",1,"A122",30,"A143","A152",2,NA,1,"A191","A201"
"163",1,"A14",15,"A32","A44",1262,"A63","A74",4,"A93","A101",3,"A122",36,"A143","A152",2,"A173",1,"A192","A201"
"164",1,"A12",10,"A32","A40",7308,"A61","A71",2,"A93","A101",4,"A124",70,"A141","A153",1,"A174",1,"A192","A201"
"165",1,"A14",36,"A32","A40",909,"A63","A75",4,"A93","A101",4,"A122",36,"A143","A152",1,"A173",1,"A191","A201"
"166",1,"A14",6,"A32","A42",2978,"A63","A73",1,"A93","A101",2,"A123",32,"A143","A152",1,"A173",1,"A192","A201"
"167",0,"A11",18,"A32","A42",1131,"A61","A71",4,"A92","A101",2,"A123",33,"A143","A152",1,"A173",1,"A191","A201"
"168",1,"A12",11,"A32","A42",1577,"A64","A72",4,"A92","A101",1,"A121",20,"A143","A152",1,"A173",1,"A191","A201"
"169",1,"A14",24,"A32","A42",3972,"A61","A74",2,"A92","A101",4,"A122",25,"A143","A151",1,"A173",1,"A192","A201"
"170",0,"A12",24,"A34","A49",1935,"A61","A75",4,"A91","A101",4,"A121",31,"A143","A152",NA,"A173",1,"A192","A201"
"171",0,"A11",15,"A30","A40",950,"A61","A75",4,"A93","A101",3,"A123",33,"A143","A151",2,"A173",2,"A191","A201"
"172",1,"A14",12,"A32","A42",763,"A61","A73",4,"A92","A101",1,"A121",26,"A143","A152",1,"A173",1,"A192","A201"
"173",0,"A12",24,"A33","A42",2064,"A61","A71",3,"A92","A101",2,"A122",34,"A143","A152",1,"A174",1,"A192","A201"
"174",1,"A12",8,"A32","A43",1414,"A61","A73",4,"A93","A103",2,"A121",33,"A143","A152",1,"A173",1,"A191","A202"
"175",0,"A11",21,"A33","A46",3414,"A61","A72",2,"A93","A101",1,"A122",26,"A143","A152",2,"A173",1,"A191","A201"
"176",0,"A14",30,"A31","A41",7485,"A65","A71",4,"A92","A101",1,"A121",53,"A141","A152",1,"A174",1,"A192","A201"
"177",1,"A11",12,"A32","A42",2577,"A61","A73",2,"A91","A101",1,"A123",42,"A143","A152",1,"A173",1,"A191","A201"
"178",1,"A11",6,"A34","A43",338,"A63","A75",4,"A93","A101",4,"A123",52,"A143","A152",2,"A173",1,"A191","A201"
"179",1,"A14",12,"A32","A43",1963,"A61","A74",4,"A93","A101",2,"A123",31,"A143","A151",2,"A174",2,"A192","A201"
"180",1,"A11",21,"A34","A40",571,"A61","A75",4,"A93","A101",4,"A121",65,"A143","A152",2,"A173",1,"A191","A201"
"181",0,"A14",36,"A33","A49",9572,"A61","A72",1,"A91","A101",1,"A123",28,"A143","A152",2,"A173",1,"A191","A201"
"182",0,"A12",36,"A33","A49",4455,"A61","A73",2,"A91","A101",2,"A121",30,"A142",NA,2,"A174",1,"A192","A201"
"183",0,"A11",21,"A31","A40",1647,"A65","A73",4,"A93","A101",2,"A122",40,"A143",NA,2,"A172",2,"A191","A201"
"184",1,"A14",24,"A34","A42",3777,"A64","A73",4,"A93","A101",4,"A121",50,"A143","A152",NA,"A173",1,"A192","A201"
"185",0,"A12",18,"A34","A40",884,"A61","A75",4,"A93","A101",4,"A123",36,"A141","A152",1,"A173",2,"A192","A201"
"186",1,"A14",15,"A34","A43",1360,"A61","A73",4,"A93","A101",2,"A122",31,"A143","A152",2,"A173",1,"A191","A201"
"187",0,"A12",9,"A31","A41",5129,"A61","A75",2,"A92","A101",4,"A124",74,"A141","A153",NA,"A174",2,"A192","A201"
"188",1,"A12",16,"A34","A40",1175,"A61","A71",2,"A93","A101",3,"A123",68,"A143","A153",3,"A171",1,"A192","A201"
"189",0,"A11",12,"A32","A43",674,"A62","A74",4,"A94","A101",1,"A122",20,"A143","A152",1,"A173",1,"A191","A201"
"190",1,"A12",18,"A30","A42",3244,"A61","A73",1,"A92","A101",4,"A123",33,"A141","A152",2,"A173",1,"A192","A201"
"191",0,"A14",24,"A32","A49",4591,"A64","A73",2,"A93","A101",3,"A122",54,"A143","A152",3,"A174",1,"A192","A201"
"192",0,"A12",48,"A30","A49",3844,"A62","A74",4,"A93","A101",4,"A124",34,"A143","A153",1,"A172",2,"A191","A201"
"193",0,"A12",27,"A32","A49",3915,"A61","A73",4,"A93","A101",2,"A123",36,"A143","A152",1,"A173",2,"A192","A201"
"194",1,"A14",6,"A32","A43",2108,"A61","A74",2,"A94","A101",2,"A121",29,"A143","A151",1,"A173",1,"A191","A201"
"195",0,"A12",45,"A32","A43",3031,"A62","A73",4,"A93","A103",4,"A122",21,"A143","A151",1,"A173",1,"A191","A201"
"196",0,"A12",9,"A34","A46",1501,"A61","A75",2,"A92","A101",3,"A123",34,"A143","A152",2,"A174",1,"A192","A201"
"197",1,"A14",6,"A34","A43",1382,"A61","A73",1,"A92","A101",1,"A123",28,"A143","A152",2,"A173",1,"A192","A201"
"198",0,"A12",12,"A32","A42",951,"A62","A72",4,"A92","A101",4,"A123",27,"A141","A151",4,"A173",1,"A191","A201"
"199",1,"A12",24,"A32","A41",2760,"A65","A75",4,"A93","A101",4,"A124",36,"A141","A153",1,"A173",1,"A192","A201"
"200",0,"A12",18,"A33","A42",4297,"A61","A75",4,"A91","A101",3,"A124",40,"A143","A152",1,"A174",1,"A192","A201"
"201",1,"A14",9,"A34","A46",936,"A63","A75",4,"A93","A101",2,"A123",52,"A143","A152",NA,"A173",1,"A192","A201"
"202",1,"A11",12,"A32","A40",1168,"A61","A73",4,"A94","A101",3,"A121",27,"A143","A152",1,"A172",1,"A191","A201"
